"Taxa","CCCHF2","CCCHF3","CCCHF5","CCCSF1","CCCSF3","CCCSF4","CCMEF1","CCMEF4","CCMEF5","HDCHF2","HDCHF4","HDCHF5","HDCSF1","HDCSF2","HDCSF4","HDMEF2","HDMEF3","HDMEF5","HSPCHF1","HSPCHF2","HSPCHF3","HSPCSF2","HSPCSF3","HSPCSF5","HSPMEF3","HSPMEF4","HSPMEF5","SSBCHF1","SSBCHF3","SSBCHF4","SSBCSF1","SSBCSF3","SSBCSF4","SSBMEF2","SSBMEF4","SSBMEF5","XGCHF1","XGCHF3","XGCHF4","XGCSF1","XGCSF2","XGCSF3","XGMEF1","XGMEF2","XGMEF3","YSCHF1","YSCHF4","YSCHF5","YSCSF1","YSCSF3","YSCSF5","YSMEF1","YSMEF3","YSMEF4"
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_XPB1014_group",8.20411846747067e-05,0,0,4.10205923373534e-05,4.10205923373534e-05,0.000164082369349413,0.00012306177701206,8.20411846747067e-05,0,0,0,8.20411846747067e-05,0.000410205923373534,0,0,4.10205923373534e-05,0.000451226515710887,0,0,4.10205923373534e-05,0,0,8.20411846747067e-05,0,0,8.20411846747067e-05,0.00024612355402412,0,8.20411846747067e-05,4.10205923373534e-05,0,0,0,0,4.10205923373534e-05,4.10205923373534e-05,0,8.20411846747067e-05,0.000205102961686767,0.000164082369349413,0,0,4.10205923373534e-05,4.10205923373534e-05,0,0,4.10205923373534e-05,8.20411846747067e-05,0,0.00012306177701206,0,0,0,0
"k__Bacteria|p__WPS-2|c__|o__|f__|g__",0,0,0,0,0,4.10205923373534e-05,0.00024612355402412,0,0,0,4.10205923373534e-05,0,0.000205102961686767,0.000164082369349413,0,0,0,0,0.000287144146361473,0,0,0,0,0,0,0,0.00012306177701206,0.00012306177701206,0,0.00012306177701206,0,4.10205923373534e-05,0,0,0,0,0,0,0,0.000410205923373534,0.00036918533103618,0.00036918533103618,0,0,4.10205923373534e-05,0,4.10205923373534e-05,4.10205923373534e-05,0,8.20411846747067e-05,0,0,0,0.000164082369349413
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Nonomuraea",4.10205923373534e-05,0,0,4.10205923373534e-05,0,0,0,0,8.20411846747067e-05,4.10205923373534e-05,0,8.20411846747067e-05,0,0,0,0.000164082369349413,0.00049224710804824,0,0,0,0,0.00012306177701206,0,0.000205102961686767,8.20411846747067e-05,0,0,0,0,0,0,8.20411846747067e-05,0,0,8.20411846747067e-05,0,0,0,0,4.10205923373534e-05,0,0,8.20411846747067e-05,0,0,0,0,0,0.000287144146361473,8.20411846747067e-05,8.20411846747067e-05,0.000574288292722947,4.10205923373534e-05,0.000164082369349413
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae|g__Quadrisphaera",0,8.20411846747067e-05,0,0,0,4.10205923373534e-05,4.10205923373534e-05,8.20411846747067e-05,0,0.00012306177701206,0,4.10205923373534e-05,0.00012306177701206,8.20411846747067e-05,0,0,0,4.10205923373534e-05,0.00024612355402412,0,0.000287144146361473,8.20411846747067e-05,0,0.000328164738698827,0,4.10205923373534e-05,0,0,0,0,0,4.10205923373534e-05,0,0,0,4.10205923373534e-05,0,0,0.00024612355402412,0,0,0,8.20411846747067e-05,0,0,0,0.00024612355402412,0,0.000205102961686767,8.20411846747067e-05,0,4.10205923373534e-05,0,0
"k__Bacteria|p__Cyanobacteria|c__Oxyphotobacteria|o__Nostocales|f__Phormidiaceae|g__Tychonema_CCAP_1459-11B",0,0,8.20411846747067e-05,0,0,0,0.00012306177701206,0.00012306177701206,4.10205923373534e-05,0,0,0,0,0,0,0,8.20411846747067e-05,8.20411846747067e-05,0,0,0.000328164738698827,0,0.00036918533103618,0.000451226515710887,0,0,0.000328164738698827,0,4.10205923373534e-05,0,0,4.10205923373534e-05,4.10205923373534e-05,8.20411846747067e-05,0,4.10205923373534e-05,0,0,0,0,0,4.10205923373534e-05,0,0,0,0,0,4.10205923373534e-05,0,0,4.10205923373534e-05,0,0.000205102961686767,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae|g__Micromonospora",4.10205923373534e-05,0.00012306177701206,4.10205923373534e-05,0,4.10205923373534e-05,8.20411846747067e-05,0,0,0,0,0,0,0,0.000205102961686767,0,4.10205923373534e-05,0,0,0,0,0,0,0.000164082369349413,0,0.00012306177701206,0.00024612355402412,4.10205923373534e-05,0,0,0,4.10205923373534e-05,0,4.10205923373534e-05,0.00012306177701206,4.10205923373534e-05,4.10205923373534e-05,0,8.20411846747067e-05,0.000164082369349413,0.00012306177701206,0,0,0.000205102961686767,0.000328164738698827,8.20411846747067e-05,0,0,0,0,0,0,0,0,4.10205923373534e-05
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Cytophagales|f__Hymenobacteraceae|g__Rufibacter",0,0,0,0,0,0,0,0,0,0,0,0,0.00012306177701206,8.20411846747067e-05,0,0.000205102961686767,0,0,0,0,0.00012306177701206,8.20411846747067e-05,8.20411846747067e-05,0,0,0.000328164738698827,0.000164082369349413,0,0,0.000902453031421774,0,0,0,0,0,0,0,8.20411846747067e-05,0,0,0,0,0,0,0,0,0.000205102961686767,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae|g__Methyloceanibacter",0,0,8.20411846747067e-05,8.20411846747067e-05,4.10205923373534e-05,0.000205102961686767,0,0,4.10205923373534e-05,0,0,0,0,0,0,0,8.20411846747067e-05,4.10205923373534e-05,0,0,0,0,0.00012306177701206,0,4.10205923373534e-05,0,4.10205923373534e-05,0,4.10205923373534e-05,0.00049224710804824,0.00012306177701206,0,0,4.10205923373534e-05,0.00012306177701206,0,4.10205923373534e-05,0,0,8.20411846747067e-05,0,0,4.10205923373534e-05,0,0,4.10205923373534e-05,0,0,0.000287144146361473,0.00012306177701206,0.000164082369349413,0,0,0
"k__Bacteria|p__Acidobacteria|c__Subgroup_9|o__|f__|g__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012306177701206,0,0.00036918533103618,0.000164082369349413,0.000287144146361473,0.00012306177701206,0,0,8.20411846747067e-05,0.000574288292722947,0,0,0,0,0,0,4.10205923373534e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20411846747067e-05,8.20411846747067e-05,0,4.10205923373534e-05,8.20411846747067e-05,0.00024612355402412
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya",0,0,0,0,4.10205923373534e-05,0.00012306177701206,0.000164082369349413,0,0,0,0,0,0,0,8.20411846747067e-05,0,0,0,0.0006153088850603,0,0,0,0,0,4.10205923373534e-05,0,8.20411846747067e-05,0,0,0,4.10205923373534e-05,4.10205923373534e-05,0,0,8.20411846747067e-05,0,4.10205923373534e-05,0,8.20411846747067e-05,4.10205923373534e-05,8.20411846747067e-05,0,0,0.00012306177701206,8.20411846747067e-05,0,0,4.10205923373534e-05,4.10205923373534e-05,0,0.00012306177701206,4.10205923373534e-05,0.000205102961686767,8.20411846747067e-05
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__B1-7BS|g__",0,0,0,0,0,0,0,0,0,0,0,0,8.20411846747067e-05,0,0,0,0,0.000287144146361473,0,0.000164082369349413,0,4.10205923373534e-05,0,4.10205923373534e-05,8.20411846747067e-05,0,0,4.10205923373534e-05,8.20411846747067e-05,0,4.10205923373534e-05,0,0,0,0,0,0,0,4.10205923373534e-05,0,0,8.20411846747067e-05,8.20411846747067e-05,0,0.000164082369349413,0,0,0,4.10205923373534e-05,4.10205923373534e-05,0.000410205923373534,0.000205102961686767,0.000205102961686767,8.20411846747067e-05
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Subgroup_2|f__|g__",0,0,0,8.20411846747067e-05,0.000205102961686767,0.000328164738698827,0.00012306177701206,0,4.10205923373534e-05,0,4.10205923373534e-05,4.10205923373534e-05,0,0,0,0,0,0,0,0,0,0.000164082369349413,0,0,0,0,0.000205102961686767,0,0,0,0,0,4.10205923373534e-05,0,0.00024612355402412,0,0.000164082369349413,0,0,0,0,0,0,4.10205923373534e-05,0,0,0.00012306177701206,4.10205923373534e-05,0.00024612355402412,4.10205923373534e-05,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Burkholderiaceae|g__Polaromonas",0,4.10205923373534e-05,0,0.000287144146361473,8.20411846747067e-05,0,0,0,8.20411846747067e-05,0,0,0,0,4.10205923373534e-05,0.000205102961686767,0,4.10205923373534e-05,4.10205923373534e-05,0,0,4.10205923373534e-05,0,4.10205923373534e-05,0.000656329477397654,0,0,0,0,4.10205923373534e-05,0,4.10205923373534e-05,0,0,0,0,0,4.10205923373534e-05,0,8.20411846747067e-05,0,0,0,0,0,4.10205923373534e-05,0,4.10205923373534e-05,4.10205923373534e-05,0.000287144146361473,0,0,0,0,0
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__UA11|f__|g__",0,0,0,0,0,4.10205923373534e-05,0,0,4.10205923373534e-05,0,0,0,0,0,0,0,0,0,0.000533267700385594,0,0,0.00024612355402412,0,0.000164082369349413,4.10205923373534e-05,0,0,0,0,0,0,0,0.000287144146361473,0,0,0,0,0,0,0,0,0,0,8.20411846747067e-05,0,0,0,8.20411846747067e-05,0.000164082369349413,0,0,0.000164082369349413,0.000287144146361473,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alteromonas",0,4.10205923373534e-05,0,4.10205923373534e-05,0,4.10205923373534e-05,0,4.10205923373534e-05,0,0,0,0,0,0,0,4.10205923373534e-05,0,0,0.00024612355402412,0,0.000410205923373534,0,0,0,0,0,0,0,0,0,0,0.00012306177701206,0.00012306177701206,0,4.10205923373534e-05,0,4.10205923373534e-05,0,0,0,0,0,0,0,0.000164082369349413,0,0,0,0.000164082369349413,0.00049224710804824,8.20411846747067e-05,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Flavobacteriales|f__Weeksellaceae|g__Chryseobacterium",0,0,0,0,0,0,8.20411846747067e-05,0,8.20411846747067e-05,0,0,4.10205923373534e-05,0,0,0,0,0,0.00012306177701206,0.00012306177701206,4.10205923373534e-05,0,0.000164082369349413,0,0.00012306177701206,4.10205923373534e-05,8.20411846747067e-05,0,8.20411846747067e-05,0,4.10205923373534e-05,0,0,0,0,0.00012306177701206,4.10205923373534e-05,0,8.20411846747067e-05,0,0,0,0,0,8.20411846747067e-05,0,0,0,0,0.000287144146361473,0,0,0.000328164738698827,0,4.10205923373534e-05
